product,text
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","After using Lights, Camera, Lashes by Tarte for the past year, I got tired of breaking the bank over mascara. My sister suggested Essence Lash Princess False Lash Effect and I IMMEDIATELY fell in love. It provides dramatic length and great volume. I can honestly say I can’t stop looking at my eyelashes in the mirror every single day because of how awesome they look. Also, it is very long wearing. I go from an 8 hour work day right to the gym and sweat like crazy...and this stuff doesn’t budge! I love it!!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性",My lashes are so fair and thin that its hard for me to find mascara that will give me such great volume. This mascara is so good! It was easy and was a flawless result for an affordable price. 100% would reccommend
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I LOVE this mascara!! Read a blog on it and figured why not try it for $5 and to my surprise it’s just as good if not better than the $20 mascara I’ve been using! It’s not waterproof but I can wear it all day at work and then to a super high intensity work out class and it still looks great. As far as some of the reviews saying it’s clumpy, the 2nd ingredient in this is beeswax, if you use body heat to warm up the mascara it will go on super smooth! And now, my one complaint: I posted this picture on social media bragging about this mascara. Off of that single post, in the past week probably about 30 of my people have ordered it. I went to order a tube for my friends mom last night and was shocked to see a $15 price tag!!! TRIPPLED in price from 3 days ago!!! So, FYI to anyone wanting this but not wanting to spend $15, ulta still has it for $4.99"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","This has became my favorite mascara. It lasts & doesn't dry super fast so you can build it as much as you want. It comes off easily with my eye makeup remover & doesn't flake throughout the day. I also love the wand (this part is huge for me) it glides the mascara on perfectly & seperates my lashes. I tried the purple tube as well & definitely prefer this one (purple has a curved wand where this one is straight with individual spikes). Also the purple curved wand caused me to get as much mascara on my eyelid as the lashes. But I have been using this stuff since January & have not looked back! For the price & quality you cannot beat it!  Edited for pics: First pic (blue shirt) is with the green tube, the morning after! The other eye pic is with the purple tube, still gets the job done I just love a straight spiky wand. I am not wearing eyelash extensions or falsies. Most of what you see is the magic of the mascara! BUY IT SIS!!"
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","I NEVER write reviews unless I either really love something or hate it. I LOVE THIS MASCARA. I am a mascara fanatic, I buy mascara constantly and always try and find the best one. So, this mascara is super cheap and the best one I've bought so far. In the pictures I posted, I didn't use any eyelash primer or curler and just put two coats on!!! I was so impressed! But it also depends on how long your eyelashes are and if you apply mascara correctly. My eyelashes are not super long naturally but I apply castor oil daily to strengthen them which helps. This mascara doesn't clump (unless you don't know what you're doing) and it has great volume and thickness. You can use one coat to be subtle or you can keep building it up. It also lasts all day. I HIGHLY RECOMMEND THIS, especially since the price is so cheap! It's a steal. Better than all the higher end mascaras I've tried and the drug store ones. I will most definitely be buying another one when my current one runs out."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性",I bought this mascara after reading an article on Facebook about it. It does work wonders!! I personally think it’s as good if not better than my Younique fiber lashes and it doesn’t flake off like that does! I used 2-3 coats and my lashes look amazing. Just like falsies. Great product
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性",I would give this ZERO stars if I could! It runs after about 30 minutes of wear giving me raccoon eyes. No use in using a mascara that does that. I will never waste my money on this awful product again! $4.99 is cheap but even that is too much for a terrible product! I’m on an Amazon shopping group and most of the people in the group who purchased this also complained about it smearing and giving dark circles under the eyes so it’s not just one person. The pic I attached shows it after only 30 min of wear. The longer I wear it the worse it looks!!
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","When I received my mascara it was in an unissued box with a sticker over the seal to show it was new, I'm not actually sure if it was a new bottle. I used it a handful of times, but didn't like it much. It clumped my lashes together, making them look messy and the mascara flakes like crazy!! At night when I go to take it off, it takes FOREVER and even when you think you got it all, you didn't. I don't wear much for makeup and I don't wear it everyday. It had been weeks since I wore any makeup on my face, then 2 days in a row I wore this mascara. Day 1 my left eye was so irritated and by day 2 I had a stye on my bottom lash line that is incredibly painful. I have never had a stye before and I have to chalk it up to it being from this mascara. Not being able to fully clean it off, the flakes, and the fact that I can't say it wasn't used makes me believe my stye is a result of this mascara."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","After seeing some impressive before-and-after photo reviews of this product, I decided to try it out. Weighing the pros and cons, it's a good mascara- great even, considering the price point. Some cons include that this product goes on very wet and thick. When applying, I make sure to tilt my head back and look down at my mirror so that there is a smaller chance of my eyelashes brushing against my upper lids. I hold this position for about 30 seconds to let it dry a little before moving on to the next eye, otherwise it will smear all over the lid. I have long lashes, so perhaps not everyone will face this issue. You can build up a good deal of product in one round of application, rather than going back to reapply after it dries. It is a tad bit clumpy, but it isn't a ""spider legs"" look by any means . It looks nice with a little practice mastering an application technique. I will mention that I did not like this mascara at all the first day I tried it, it was far too wet and I felt it just clumped everything together. However, I'm sure others have noticed how a day one mascara applies is generally not a true test to it's intended effect.  I would encourage anyone to give it a shot for this price, you'll most likely either love it or you'll think it's acceptable at best . I would most likely buy this again; although I admit this was a bit of a novelty purchase, I am impressed."
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性", I was about to give up on cheap mascara. I have tried all of them and a chunk of the expensive brands too like Two Faced and Tarte. Let me tell you what though! This is the best! Every lash is fanned out and lengthen. Doesn’t make them clump or spidery. I’m obsessed and for the price it’s 1000000x worth it. I’m sold for life
"精华 | Lash Princess 假睫毛效果睫毛膏 | 不含麸质,无刺激性","This mascara was wonderful in the beginning, it does everything it claims: lengthens lashes, goes on smoothly, stays all day. But after about a week of wearing, my eyes became irritated and scratchy. I thought maybe they’d get used to it, so I continued wearing it. That is until I ended up with an itchy rash below one of my eyes one morning. I’ve had to stop wearing this completely. For some reason my eyes and skin have a reaction to it, and I’ve never had an issue wearing any other cosmetics before. Major bummer, as I ordered 3 of these, hoping to love it."
