product,reviewer,influence,comment,text
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",John Vieau,2752,53,"I'm a Family Practitioner PA for the past 38 years and cannot tolerate an incorrect temperature reading. This is right on compared to both a glass and digital thermometer. Takes only a second to work and it even works with a moving target. Highly recommended for the medical professional and for home use, especially with little kids. Stay healthy."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Jenni B,1927,249,"I mainly purchased this for the middle of the night. My littles tend to spike their fevers at night and they always feel like they are 500 degrees. I wanted a way to take their temp without disturbing them. This is PERFECT for that. No beeping, no bright lights, easy to hold and use. That being said, the people complaining about inaccuracy aren't using it in the proper spot. I tested this by measuring different areas of the forehead and they are not all the same temp with or without a fever. You need to aim it at the center of the forehead about a fingers width away and you'll be all set!"
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Steve,8382,549,"I doubt that that anybody will read my little review, it'll be pushed so far back in the several thousand nobody will see it. Anyway I hope that it is read because this is the best one that I have purchased, since this crises began. This thermometer works as it is said to. It's very simple and easy to use and it perfectly accurate.  I had a much more expensive one and it didn't work after a few uses. This one doesn't have the memory data and piled up useless stuff to make it tear up quickly. It feels good in the hand, doesn't feel like thin cheap plastic and performs everything but what it is needed for. It's heavier, more solid, reads the temp in a second and shuts off in 8 seconds. It doesn't stay on a half day and drain the battery. It looks and feels like a professional instrument, not a cheap light plastic toy. If it continues to function the way that it's doing, it is worth every penny and is a fair price. As things are now, I would buy it again. I am telling you the honest total truth, this is a good one. Not colored or fancy looking, just a plain simple, well made instrument that does what it is supposed to do...  11-18-20 This one that I have reviewed is still just like the day that I received it. So, I bought another one, for a gift...……."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Jeff,550,9,"This is a very good looking thermometer, I compared with my Kinsa smart thermometer when I was not in fever, same reading like oral thermometer. And the device is very good looking! So simple to operate with one button, and it vibrates to alert you the testing is done. Accurate and not expensive at all."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",IntiMD - Public Relation,407,2,"Decided to replace the trusty Braun thermoscan ear thermometer that we bought back in 2007 when our first child was born. The Thermoscan wasn't broken, just that it feels outdated. This No-Touch thermometer is really well-designed. Simplistic, and intuitive to use.  Daughter just came down with a mild cold, and we have been using both the old Thermoscan and this No-Touch thermometer to see if there is any difference in the reading. While this is not a affirmative test for accuracy, both thermometers' readout are within 0.3 F of each other, so we are fairly confident that both of these are good for their function.  Using the No-Touch thermometer:  While holding the No-Touch thermometer close to forehead (without touching), press the button once to activate. Once the No-Touch thermometer vibrates, the scan is complete.  There are similar No-Touch thermometers out there for a bit cheaper, but I enjoy the design of this particular model."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",dj1000000,3788,9,"I work in a doctor’s office. I bought this to check my temperature before work every morning in light of the recent pandemic. Would never register above 97.3; however, when I rechecked at the office one day my temperature was approaching 100.  I received a refund (from Amazon not manufacturer) for the item, and I realize that sometimes things break. The reason for the negative review is the manufacturer’s response to my refund request. Their response “ It's impossible for this device can never register above 97.3. But we hope to know if you had used it correctly by following the instruction. How about reload the batteries” The response continued with angry veiled references about Amazon for refunding my money.  Great grammar, huh? But I must be too stupid to put in batteries correctly. I emailed the company again with the above pictures to show that the batteries had been installed correctly otherwise the display would not light up with the temperature reading. Still waiting for response. . ."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Eric,1335,22,"The temperature was always in the 97.1-97.5 range. Then when the kids told me they didn't feel well, it was 98.1-99.1. I am not going to wait 30 minutes, and move room to room to see if I can get a different reading. It is garbage. I returned the POS. Don't waste your money on something that is a legitimately a cool idea, yet doesn't work."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",CMW,508,6,I wish I had known that it expires in two years because it wouldn’t have been worth the price if that’s the case. I have no idea why a thermometer would have an expiration
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Stone Family,733,10,"I love the design of this thermometer, it’s also super easy to use. Unfortunately I just don’t feel ours is accurate. I tested it against several others and all the others were within .02 degrees and this one was always at least a whole degree off one way or the other. I can’t rely on it as our main thermometer which is disappointing."
"iHealth 无触摸式额头温度计,成人和儿童数字红外温度计,非接触式婴儿温度计,3 个超敏感传感器,大型 LED 数字,静音振动反馈,无接触",Li,266,7,"1. Temperature reading is pretty accurate for an infrared thermometer with ~ 1 degree f error at most 2. Nice to be able to change unit like advertised 3. Love love love the design, very minimalistic with no extra buttons or colors. 4. Battery comes with the product"
