product,text
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I've had this for about a year now and I use this phone mount every time I ride my bike. For the price it is about unbeatable. Initially, I was worried that on heavy trails or when going over bumps, the phone might come loose but the design is very secure and not once has my phone come loose. The straps that secure the phone can accidentally press the side buttons on the phone but once you are aware of this its pretty easy to slide the straps on without getting close to the buttons. One very slight drawback - there are times when I'm riding and want to take a picture with my phone. Removing the phone from the flexible straps takes a little doing and sometimes I miss the picture, but I'm not sure any design that secures the phone safely would also be easy to free up. Overall it is an excellent product."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I bought this for my motorcycle. It's a custom bike and I use a cruise around at 80 to 90 miles an hour. One thing I love is the fact that it fits my handlebars because they're pretty big and they give you two different sizes for handlebars. They also give you multiple sizes for your phone. It's not only great to get extra pieces but they're also sturdy as hell. And then there's the fact that you know that your phone is secure or not going to blow off the bike especially when our phones cost 800 to $1,200"
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I use this with my IPhone Xs for mountain biking on rough trails and have never had the phone come loose, even after small jumps. I had it loosen part way after a crash, but it didn’t come out of the corner straps. I love that I can use my trail mapping app and Strava and have all the functions of my phone, while ditching the old bike computer, which had limited functionality anyhow. I liked mine so much that I gave one to my son and daughter, who also bike with me. They both love the upgrade over the old bike computer. The pivot needs to be tight to keep your phone from tilting, but it can be done with a light rotation with pliers (wrap a rag around the socket screw to protect the plastic and don’t over-tighten)."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",I really was worried this would be a junk product. I installed and tested it with an older junk smart phone. At just over 80 mph noticed no movement at all. Took the bike back home grabbed my phone and took a few shall we say test rides. Then hit the freeway and repeated my 80 mph test. The iPhone was bigger and it was still holding well in place. Now I don't suggest this but I opened the bike up to over 100 and still held not a wiggle. As I usually ride slow and easy im sure my bike was saying really knock this off. But I'm confident in the product. Even came with extra tie downs so I'd they begin to become questionable you can change them out. Well designed and prefect for me.
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机","I have this on my BMW motorcycle. If you are looking for the best, this is the one. This is my second one as the other ones shown on Amazon do NOT have the thumbs screw to tighten on the bar. This phone mount is easy to install no tools required like the other brands. Plus I got three rubbers in the box, in case one breaks to hold the phone, this set-up will last for years. My other one I purchased from a different vendor broke, hence I needed a replacement, this is THE ONE> and no I do not work for this company I am a real Amazon customer."
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",Let’s start with the reason for my purchase. I needed something to hold my phone oh my Honda Ruckus so I could it as a speedometer and gps mount. This got great rating so let’s try it...  Add to card / amazon prime and bam ! 2 days later  This mounted well for the handle bars but the way it’s designed you can put it on a wide range of handle bae grips. There is a main side clip that holds quite well and the rubber backing that you slip over the corners locks it in. I took a drive and the wind didn’t even make it move. There are two larger rubber backs and a smaller one. Also comes with an extra thumb screw. If it can stay I. My moped it can stay on a bike. I’m actually going to try it on my bike (pedal) also. Great but and loook forward to using it a lot. As always I will update in the future to gauge the quality of this product.
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机", This is amazing! Holds incredibly well! Here is a video of my husband doing 95 mph while the iphone 7+ is on the holder.
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",Order was delivered on time and the phone mount worked great on my recumbent trike. I hit some big bumps but the mount held the phone steady. This mount is a great value for the price AND has great performance!
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",Bought this for my Harley softail custom. Worked ok for about two weeks before the ball and stem snapped off on the highway ruining my phone and costing me to replace it. Very unhappy
"Roam Bike 手机支架 - 可调节摩托车手机支架车把,适用于电动、山地、滑板车和越野自行车 - 自行车手机支架兼容 iPhone 和 Android 手机",Well that lasted a week...... if you have a Harley I don't recommend it a lot of vibration this thing sticks out
