product,reviewer,influence,comment,text
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Hoppaguy,26318,3348,"The Good: -Fast (no lag) -Incredible streaming quality -Easy set up -Longer range wifi -Same compact size as previous generation -Voice recognition on remote works well -Comes with batteries for remote  The Bad: -Have to resign into all apps but that’s not a surprise  The Bottom Line: I just set up this new Roku Streaming Stick 4K and watched a movie on Netflix. I set up the streaming stick in less than 5 minutes. It took a little longer to re-log back into all my services like Amazon, Netflix, etc. but that was expected. As for performance, this streaming stick is faster than the previous generation Stick+. There is no lag whatsoever with this new one. The wifi is definitely longer range since I can move the stick to the garage and there is no lag when I move it out there compared to the older streaming stick. The picture is awesome and you can watch 4K without any issues. The remote works well and the voice recognition recognizes my voice well. If you’re wondering what the difference between the 4K streaming stick versus 4K streaming stick+, the only difference is the remote. Overall, I would recommend this new Roku streaming stick 4K for its streaming quality, speed and longer range wifi."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Tempterall,254,20,"A month ago, our ISP upgraded our modem to a smart modem. Because of this, our old Roku device (which was a 2018 model Express) could not maintain a connection to the WiFi for the life of it. It was only two rooms away, yet was constantly dropping connection.  I went online and saw this one was being marketed as ""long-range WiFi"" and decided to go ahead and buy it. I can't express how much of a good decision that was. This streaming stick maintains a 4/5 connection at all times, loads instantly, and is in every way an upgrade from our 2018 Express.  I love how this remote has power, volume, and mute buttons for the TV too, that's very convenient. The voice control is great. Most devices can't understand me because I have a lisp, but this streaming stick doesn't seem to have any problems with my voice.  I'm always cautious spending upwards of $30 on anything because we're pretty poor, but in this case, this streaming stick was 100% worth the $50 it cost."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",JM,224,36,"I like the available apps, especially Spectrum TV. The voice remote fearure is super nice and makes it easy to find what you're looking for. The Roku app on my phone has a remote feature which is awesome!! If you don't have the remote nearby you can just use your phone. It also allows you to use your phone keyboard to type your login info for your apps-much easier. The Roku was very easy to set up and use. I have this and the Firestick. I like this better. The Roku has a lot more apps available. The 4K steaming quality was pretty equivalent. I recommend the Ruku."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Spartacus #1,149,40,"This upgraded Roku streaming device was just released by Roku and I received the item yesterday.  I was having poor reception with an older Roku stick as the TV was far from the modem. This new device is fantastic; great picture, speedy download speed and no loss of signal strength.  Highly recommended.  ADDENDUM: I have been using this 2021 ROKU for 4 days. This new 4K model is a game changer and I may switch my older ROKU streaming sticks to this new model; it is that good. It allows me to take advantage of the excellent resolution on my 4K televisions. My download speed is 144!!! I subscribe to a 500 speed from COX communication. The new ROKU device is far from the modem at the other end of a large home. Full Disclosure: I am so impressed with ROKU products that I have purchased ROKU stock."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Matthew P Smith,462,35,"I bought this specifically because I was having trouble with my old Roku Premiere+ being able to stream YouTube videos in 4K. It would always default to standard definition or worse and never get any better. This should not have been happening, as I have 100 mbps fiber internet service. For reference, YouTube 4K requires 20 mbps, which I have 5x the requirement for.  So, I decided that because this model was touting ""long-range wireless"" that maybe this would remedy the problem. It did not. The claims are that this model has 2x the wireless speed of previous Rokus. Maybe this is true, but the actual speed it does get is absolutely terrible.  I have attached two pictures to this review. One is of the wireless speed that the Roku is saying it has (purple screen), which is 2 mbps. Bear in mind, this is about 10ft from my wireless router. The second picture is of a speed test that I ran (on the WiFi) of my iPhone literally laying on top of the Roku at the TV and it is getting 122 mbps up and down.  So, you can see why I am having so many issues with streaming in general with this thing. This device is only capable of utilizing 1.6% of the speed that my wireless router is delivering. My advice to most people looking at this thing, avoid at all costs. There are many other streaming options that will reliably deliver the speeds you need for proper streaming.  Update: 10/23/21  So, after a week of pulling my hair out with this thing, I decided to format it to return it. Thankfully, I decided to give it one last shot before sending it back.  I’m glad I did, because after the format, it started miraculously working for about 3 days now. It gets 150+ mbps. I checked all of the settings to see what exactly had changed. Turns out it was my wireless router assigning a terrible channel to the Roku!! It put it on channel 1 initially. Same with my old Roku Premiere. Both were getting 2 mbps. For whatever reason, it assigned this Roku after formatting to channel 48 on my network and that fixed everything.  So, your mileage really may vary here. You may not have the router problem I had and it works flawlessly, or you may have the same or worse. I still kind of feel like this could be an issue involving Roku, like the Roku maybe should tell the router “Hey, this channel sucks, please give me a different one!”  I have updated my review to 4 stars because it is the best streaming device out of all that I have tried. Roku is a great company with a great UI. I just can’t quite give it 5 stars because of the WiFi issues because I don’t know if the blame is fully on my router, since I don’t have any other devices having issues."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Goldengate,15464,1967,"We have been a Roku family since they first came out and looked like little hockey pucks. We have streaming sticks on all of our TV's and find them easy to use. However they do sometimes lag a little and I was interested to try this latest version to see the speed difference. Startup is about the same - maybe 2 seconds less of the ""Bouncing Roku"" logo. Menu navigation is super fast with zero lag. There still is the ""spinning wheel"" as videos are first loaded and we have a gigabit connection with super fast WIFI in our house.  Am I going to upgrade the rest of our Rokus to this model? Probably not -- the difference isn't that large. However this is a great streaming stick that offers all the major streaming services (Youtube may vanish in December pending a contractual dispute), great voice control and an intuitive remote. The whole thing is super easy to set up.  Highly recommended!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",AmazoMaureenn Customer,164,134,"I bought this to save money. I paid about $50. After 3 days, it froze. I tried to get help from customer service, but was told I needed to give them my credit card info, starting with a $1. charge to chat with an agent. After an intro price of $1. I would be charged $45. monthly. After a simple reboot, it now works. When I bought this, I was trying to save money! If you want an alternative to cable, Don't buy this thing!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Sara @ Coastal Carolina Soap Co.,18,13,"Ages ago, my husband gifted me with a Roku device for our anniversary that was suitable with the ancient TV we had at the time. Later that year or the year after, we received a flat-screen TV. With time comes changes in tech, and while our TV might be more high-tech and great, the device had become less so. Enter the Roku 4K stick, a compact little device that offers big improvements over the small box streaming unit we had. It's powerful enough to pick up the wifi signal from the other side of the house, and it has some speed to it! No longer having do we have to watch as the blue circle of impatience spins hypnotically while our shows load. The picture is crystal clear and we love the updated features over our old device. The old one served us well which made the decision simply to upgrade our Roku device (as opposed to switching brands) an easy one."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",MojoJojo,245,96,"I've had a Roku ever since the first Roku brick hit the market and have had my share of the generational devices. Each Roku release has been better in some way than its predecessor before it The Roku Streaming Stick is no different.  I bought two of these. One to add another Roku device to my home that was less expensive than my Roku 3 and one for my girlfriends house whom is a first time Roku user and 'former' Roku nonbeliever.  Holy cowpie is this thing AWESOME!!! I am amazed that something so small actually has the ability and power to change a not so smart TV into the most amazing smart TV you've ever owned!!!  I have an Amazon firestick for one of my TVs to make it smart. Sucks compared to Roku. I HAD my Xfinity box wired into my livingroom TV.... SUCKS compared to my Roku that can stream all my Xfinity channels from anywhere I bring my Roku plus anything else I want to watch.  In a day and age where we insist on having everything at our fingertipswhile being as portable as we are ourselves, Roku delivers again."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",R&L Green,71,64,"Product was defective, would NOT recognize the HDMI 3 signal, kept dropping it over and over again on my Samsung T.V, payed a fee to have tech person help, he could not solve the issue. Got a survey from Roku, spelled out the issue and was told through e-mail someone would contact me, two weeks later it never happened. A company like this who has NO technical support for its product is CRAZY. sent the unit back and plugged in my 6 year old Roku, it works fine NOT happy with Roku"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Neskafe,253,55,"We've had a first-gen Roku on our bedroom for 10 or so years and it still works flawlessly. On our living room TV, we've had a Fire Stick for years. The Fire has gotten almost unusable over the years, with Amazon forcing more and more proprietary apps that you can't uninstall. Navigation has gotten too complicated and slow, and so many of our apps wouldn't load or would take forever. Along with all of that, the voice recognition was practically unresponsive.  I finally decided I'd had it with the Fire. I replaced it with the Roku stick and it's like having a new TV! Navigation is responsive and easy, and app loading is FAST! The remote auto pairs with your smart TV and voice recognition is FAST and works great! Did I say it's FAST?  Don't hesitate to buy the Roku stick! It's perfect!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Petra Gant,65,39,"I have an older smart TV. But it is not as smart as the TV's that come out every 10 minutes. When HULU upgraded their system, it no loger supported my old TV. Well, it works fine and I am not about to buy a new TV for HULU - but then I learned about this smart device and ordered it. I thought it is a one time investment so let's see what it can do! I am soooo pleasantly surprised!!! Not only can I get HULU again, but there are all kinds of free shows and channels. Plus you can get all of the things like Pure TV and FOX nations and all kinds of other stations all on this stick. It is wonderful!!! I totally love it!!!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",MR.LEE...,20,34,"I like everything about the 4k streaming stick... but they don't tell you that if you want the very best picture that you have go into the settings make sure everything is configured to UHD and 4k , the stick is not actually set for this,"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Neal,56,31,"UPDATE: the new OS update, 11, allows you to auto detect a/v delay using the phone app. Now there is no a/v lag since i use optical passthrough and a soundbar. This is excellent :)  All I can say is that this is better than the fire stick 4k and fire stick 4k max at the price point. The max doesn’t support Atmos with Disney plus at the moment (apparently a bug on disneys side) while I can confirm this Roku stick 4k supports Atmos on Netflix and Disney plus. While it’s not advertised on the box because of licensing fees, I can confirm my LG C9 receives an Atmos signal when playing compatible movies from Netflix and Disney+ at the moment. In addition this supports Dolby Vision and HDR so there really is no more they can add. This is all you need if you have a tv that supports Atmos and DV  Highly recommend!"
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",Peter K.,499,235,"Got this because my old 2014 vizio smart tv has problems with 2022 streaming services.  Pros - Easy setup and use  Cons: - Roku fabric label on remote digs into your palm. I cut the label off. - Takes some getting used to when to use arrow buttons and back button. - No dvr service for free live tv. - Stick can get hot. It is not designed to run continuously. Runs cooler if you power the stick via the outlet rather than the usb slot on the tv and use the free extender rather than the hdmi slot on the tv . - Secret menus. Google ""How To Access Secret Menus On Your Roku Device"".  Update: - Remote died after 5 months. Warranty replacement would have cost me time in finding out how to get a warranty replacement + $8 in shipping + time wasted at post office + time waiting for replacement. Not worth it. Buying the remote replacement would have cost me half of what I paid for the stick + remote. Ended up getting a fire stick with voice remote as a replacement."
"Roku Streaming Stick 4K 2021 | 流媒体设备 4K/HDR/杜比视觉,带 Roku 语音遥控器和电视控制",lynn,803,112,"Easy, one-stop shop to access all of your streaming subscriptions on your TV!  My two main reasons for buying this:  1. We have an older plasma TV and it's not ""smart"". We've been Chromecast users for many years, and recently added AppleTV subscription but I'm an Android user. They don't make it easy to cast Apple shows to a Chromecast and we weren't having the best viewing experience by linking my MacBook to the TV via an HDMI cable. This Roku solved that problem!  2. Whenever we go out of town and have house-sitter/pet-sitters stay at our house, they can have easy access to all of our logins without leaving them our user names and passwords for everything.  I'm so disappointed in myself that I didn't do this sooner 🙈"
