WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,label
195,62.64,94.52,66.8,10.15,19.5,15.38,90.26,74.87,60.0,13.85,10.26,0.51,6.67,0.51,0.0,2.56,3.59,16.92,10.77,2.05,14.36,8.72,4.62,8.21,2.05,17.44,6.15,5.13,9.74,6.67,0.51,2.56,10.26,2.05,8.21,1.54,2.56,0.51,1.03,0.51,3.08,0.0,4.1,1.54,2.56,1.03,0.0,1.03,0.0,0.51,0.0,0.0,13.85,3.08,0.0,0.0,0.51,0.51,0.0,10.77,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,4.62,0.51,2.05,1.54,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.51,0.0,0.0,0.0,0.0,0.0,0.51,0.0,9.23,11.79,0.51,2.05,8.21,0.51,0.0,0.51,5.64,10.26,1.03,0.0,0.0,0.0,0.0,0.0,0.0,12.82,4.62,5.13,0.0,0.51,1.03,1.54,0
107,35.4,98.84,47.36,77.95,9.73,19.63,85.98,75.7,57.94,14.95,11.21,0.0,8.41,0.93,0.0,1.87,3.74,12.15,7.48,0.0,13.08,8.41,8.41,9.35,0.93,15.89,8.41,5.61,12.15,11.21,0.0,0.93,8.41,0.93,7.48,0.0,1.87,1.87,1.87,0.93,2.8,0.0,4.67,3.74,0.0,3.74,2.8,0.0,0.0,0.0,0.0,0.0,14.95,3.74,0.93,0.93,0.0,0.0,0.93,11.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,0.93,1.87,0.0,1.87,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61,13.08,0.93,2.8,8.41,0.93,0.93,0.0,5.61,5.61,3.74,0.0,0.93,0.0,0.93,0.0,0.0,18.69,9.35,4.67,0.0,0.93,0.0,3.74,1
220,6.68,15.75,66.42,11.07,36.67,15.91,91.82,76.82,63.64,21.36,15.91,9.55,0.45,0.45,0.91,3.64,5.45,15.45,5.45,0.91,8.18,11.82,7.27,7.73,1.82,20.91,5.0,3.64,1.82,0.45,0.0,1.36,14.09,1.82,12.27,2.27,0.0,3.18,2.73,1.36,3.18,0.0,3.64,1.36,2.27,0.45,0.0,0.45,0.0,0.0,0.0,0.0,17.73,8.64,1.82,1.36,0.45,0.0,5.45,8.64,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,9.55,0.0,0.45,5.45,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,1.36,0.0,0.45,0.0,0.0,0.0,0.0,6.36,4.09,0.0,0.0,4.09,0.0,0.0,0.0,5.45,11.36,2.27,0.0,0.0,0.0,0.0,0.0,0.0,7.73,4.09,1.36,0.0,0.0,0.0,2.27,1
172,69.36,96.09,40.98,81.93,19.11,18.02,84.3,67.44,54.07,9.3,7.56,0.0,5.81,0.58,0.0,1.16,1.74,18.02,10.47,4.65,10.47,6.98,5.81,8.72,0.0,13.37,8.14,6.4,6.98,6.98,0.0,0.0,7.56,1.16,6.4,1.16,1.16,0.58,0.58,0.58,2.33,0.0,4.07,4.07,0.0,1.74,1.74,0.0,0.0,0.0,0.0,0.0,11.63,2.33,1.16,0.0,0.0,0.0,0.58,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,1.16,2.33,1.16,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,11.63,0.0,0.58,9.3,1.16,0.0,0.58,4.07,9.3,2.33,0.58,0.0,0.0,0.0,0.0,0.0,14.53,6.98,2.33,0.0,0.0,0.58,4.65,1
98,82.8,19.33,87.61,51.68,24.5,10.2,89.8,80.61,59.18,11.22,6.12,4.08,0.0,2.04,0.0,0.0,5.1,23.47,12.24,1.02,14.29,7.14,5.1,5.1,2.04,15.31,14.29,5.1,0.0,0.0,0.0,0.0,16.33,1.02,15.31,5.1,0.0,3.06,6.12,0.0,2.04,0.0,5.1,3.06,1.02,2.04,1.02,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,3.06,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,22.45,0.0,3.06,10.2,7.14,0.0,3.06,3.06,7.14,1.02,0.0,1.02,0.0,0.0,0.0,1.02,10.2,4.08,4.08,0.0,0.0,2.04,0.0,0
64,57.51,23.51,93.71,1.0,10.67,18.75,89.06,71.88,57.81,6.25,3.13,0.0,3.13,0.0,0.0,0.0,3.13,12.5,10.94,0.0,10.94,10.94,6.25,7.81,4.69,17.19,9.38,1.56,4.69,3.13,0.0,1.56,9.38,0.0,9.38,0.0,0.0,1.56,0.0,1.56,6.25,0.0,7.81,0.0,7.81,3.13,0.0,3.13,0.0,3.13,0.0,0.0,7.81,3.13,0.0,0.0,3.13,0.0,0.0,4.69,0.0,0.0,0.0,0.0,1.56,0.0,0.0,1.56,6.25,0.0,1.56,3.13,1.56,0.0,3.13,1.56,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,6.25,18.75,1.56,4.69,14.06,0.0,0.0,0.0,3.13,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.19,9.38,3.13,0.0,0.0,3.13,1.56,1
275,73.28,86.82,84.17,7.26,25.0,21.09,87.27,72.0,56.73,12.73,10.55,2.18,6.91,0.0,0.73,0.0,2.18,15.64,7.64,1.45,17.09,6.91,6.18,5.82,1.45,15.64,6.55,5.45,10.18,8.36,1.45,0.36,12.0,1.09,10.91,1.45,0.36,0.73,2.55,1.82,4.73,0.0,3.64,1.09,2.55,1.09,0.0,1.09,0.36,0.36,0.0,0.0,14.18,3.27,0.36,0.36,0.36,0.36,1.45,10.55,0.36,0.73,1.09,0.36,1.09,0.0,0.0,1.09,4.0,0.36,1.82,1.45,0.36,0.0,2.18,0.36,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1.09,0.0,1.09,0.36,0.36,0.73,0.0,0.0,0.0,1.82,12.36,0.36,1.82,9.45,0.0,0.73,0.36,5.45,9.09,0.73,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.73,5.82,0.0,0.73,2.55,6.18,0
234,84.05,24.12,57.98,79.29,19.5,17.52,86.32,65.38,52.56,8.55,3.42,0.43,1.28,1.28,0.0,0.0,5.13,17.95,10.68,2.99,14.53,5.56,5.13,6.41,2.99,10.26,8.12,6.41,2.14,1.71,0.43,0.0,13.68,2.14,11.54,1.28,0.43,2.14,3.85,0.0,5.98,0.0,6.41,5.13,1.28,1.71,1.28,0.43,0.0,0.0,0.0,0.0,5.98,1.28,0.85,0.43,0.0,0.0,0.0,3.85,0.43,0.0,0.0,0.0,1.71,0.0,0.0,1.71,5.13,0.0,1.28,0.85,2.99,0.0,6.41,0.85,0.0,0.85,0.0,0.0,0.0,5.56,0.0,0.85,0.43,0.43,0.43,0.0,0.0,0.0,0.0,0.0,7.69,11.54,0.0,1.71,9.83,0.0,0.0,0.0,2.14,1.28,4.7,1.28,0.0,0.0,0.0,0.0,0.0,17.95,4.7,6.41,0.0,0.43,2.56,3.85,1
96,55.95,6.61,80.79,1.0,24.0,14.58,83.33,72.92,55.21,11.46,8.33,7.29,1.04,0.0,0.0,0.0,3.13,17.71,8.33,2.08,11.46,8.33,4.17,9.38,1.04,17.71,8.33,7.29,3.13,3.13,0.0,0.0,2.08,0.0,2.08,0.0,0.0,0.0,0.0,0.0,2.08,0.0,6.25,0.0,5.21,3.13,0.0,2.08,0.0,0.0,2.08,0.0,5.21,4.17,0.0,0.0,0.0,0.0,1.04,1.04,0.0,0.0,0.0,0.0,1.04,0.0,0.0,1.04,4.17,0.0,1.04,2.08,1.04,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,1.04,0.0,1.04,0.0,0.0,0.0,0.0,5.21,12.5,0.0,1.04,10.42,1.04,0.0,0.0,2.08,10.42,1.04,0.0,0.0,0.0,0.0,0.0,0.0,12.5,4.17,2.08,0.0,0.0,0.0,6.25,1
148,82.85,44.05,69.6,93.12,10.57,14.19,84.46,62.16,48.65,6.76,5.41,3.38,0.0,2.03,0.0,0.0,1.35,11.49,7.43,4.73,14.19,8.78,5.41,4.73,0.0,14.19,10.81,3.38,3.38,2.03,0.0,1.35,6.08,1.35,4.73,0.0,0.0,2.03,0.0,1.35,1.35,0.0,5.41,5.41,0.0,2.03,2.03,0.0,0.0,0.0,0.0,0.0,5.41,2.03,1.35,0.68,0.0,0.0,0.68,3.38,0.0,0.0,0.0,0.68,0.68,0.0,0.0,0.68,6.08,1.35,2.7,0.68,1.35,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,16.22,0.0,4.05,11.49,0.68,0.0,0.0,2.7,7.43,1.35,1.35,0.68,0.68,0.0,0.0,0.0,17.57,8.11,4.05,0.0,1.35,0.68,3.38,1
