",",JJS,#,VB,RBR,PRP$,LS,NN,VBP,MD,VBG,EX,VBZ,RBS,JJ,.,JJR,NNPS,VBD,NNS,$,RP,``,IN,DT,TO,'',:,CC,VBN,PRP,WP,WDT,FW,NNP,UH,WRB,CD,PDT,SYM,POS,RB,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,label
13,0,0,14,0,8,2,39,2,3,2,1,0,0,13,13,0,0,20,9,0,2,0,29,26,10,0,0,6,7,16,0,0,2,5,0,0,1,0,0,0,11,228,80.4,1.58,98.55,11.33,17.54,17.98,86.4,71.93,59.21,14.47,10.96,10.09,0.0,0.0,0.0,0.88,3.51,16.67,10.09,0.88,17.98,9.21,2.63,5.26,1.75,18.86,4.39,3.07,1.32,0.0,0.88,0.44,11.84,0.44,10.96,4.82,0.44,2.19,0.88,0.0,3.07,0.0,1.75,0.44,1.32,0.88,0.44,0.44,0.0,0.0,0.44,0.0,4.39,2.19,0.0,0.0,0.0,0.0,1.75,2.19,0.0,0.88,0.0,0.44,1.32,0.0,0.0,1.32,3.95,0.88,1.75,1.32,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,1.75,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,5.26,15.35,2.63,0.88,10.53,0.88,0.44,0.44,3.07,11.4,0.44,0.88,0.0,0.0,0.0,0.0,0.0,11.4,5.7,5.7,0.0,0.0,0.0,0.0,0
2,0,0,1,0,0,0,12,5,0,0,0,1,0,7,2,0,0,0,2,0,1,0,7,5,0,0,0,4,0,4,0,0,0,5,0,0,1,0,0,0,0,53,83.39,81.19,41.82,99.0,17.67,16.98,88.68,60.38,47.17,9.43,5.66,1.89,0.0,3.77,0.0,0.0,3.77,9.43,7.55,1.89,15.09,5.66,0.0,11.32,0.0,9.43,9.43,1.89,1.89,1.89,0.0,0.0,5.66,0.0,5.66,1.89,0.0,0.0,1.89,1.89,1.89,0.0,11.32,11.32,0.0,1.89,1.89,0.0,0.0,0.0,0.0,0.0,9.43,1.89,0.0,0.0,0.0,0.0,0.0,7.55,0.0,0.0,0.0,0.0,3.77,0.0,0.0,3.77,7.55,0.0,1.89,3.77,3.77,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,16.98,9.43,0.0,0.0,9.43,0.0,0.0,0.0,1.89,0.0,5.66,0.0,0.0,0.0,0.0,0.0,0.0,13.21,3.77,3.77,0.0,1.89,0.0,3.77,1
1,0,0,8,0,5,0,10,1,3,0,0,0,0,7,9,0,0,10,4,0,0,0,8,11,3,0,0,10,1,13,1,0,0,7,0,0,1,0,0,1,10,113,28.9,97.77,28.83,99.0,12.56,15.04,92.04,80.53,62.83,16.81,13.27,4.42,6.19,2.65,0.0,0.0,3.54,16.81,7.96,0.88,9.73,9.73,4.42,10.62,0.0,20.35,7.08,6.19,8.85,8.85,0.0,0.0,6.19,0.88,5.31,0.0,0.0,1.77,0.0,0.88,0.88,0.0,9.73,8.85,0.88,3.54,3.54,0.0,0.0,0.0,0.0,0.0,16.81,5.31,0.88,1.77,0.0,0.0,1.77,11.5,0.88,0.88,0.0,0.88,0.0,0.0,0.0,0.0,2.65,0.88,0.88,0.88,0.0,0.0,1.77,0.88,0.0,0.88,0.0,0.0,0.0,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,11.5,1.77,0.0,7.96,0.88,0.0,0.88,3.54,9.73,1.77,3.54,0.0,0.0,0.0,0.0,0.0,10.62,7.08,0.88,0.0,0.88,1.77,0.0,0
2,0,0,3,0,1,0,11,0,2,0,0,0,0,8,4,0,0,6,0,0,0,0,5,7,3,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,6,58,53.16,60.57,86.26,99.0,14.5,17.24,91.38,72.41,56.9,8.62,6.9,1.72,3.45,0.0,0.0,0.0,1.72,15.52,6.9,1.72,12.07,13.79,3.45,6.9,1.72,22.41,10.34,5.17,6.9,5.17,1.72,0.0,13.79,3.45,10.34,0.0,0.0,3.45,1.72,1.72,6.9,0.0,8.62,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24,6.9,3.45,0.0,0.0,0.0,1.72,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,1.72,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,15.52,0.0,3.45,13.79,0.0,1.72,0.0,1.72,13.79,1.72,0.0,0.0,0.0,0.0,0.0,0.0,10.34,6.9,3.45,0.0,0.0,0.0,0.0,1
2,0,0,4,0,0,0,12,7,0,0,0,4,1,6,6,0,0,0,4,0,0,0,7,12,3,0,0,2,1,7,0,0,0,3,0,1,2,0,0,0,7,83,52.72,61.53,49.65,98.79,13.83,9.64,89.16,73.49,60.24,9.64,7.23,1.2,0.0,4.82,0.0,1.2,2.41,18.07,13.25,2.41,9.64,9.64,8.43,8.43,2.41,18.07,7.23,4.82,1.2,0.0,0.0,1.2,9.64,1.2,8.43,2.41,0.0,1.2,1.2,0.0,4.82,0.0,7.23,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84,3.61,1.2,0.0,0.0,0.0,0.0,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23,3.61,2.41,1.2,0.0,0.0,3.61,3.61,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,16.87,9.64,0.0,1.2,7.23,0.0,0.0,2.41,2.41,2.41,8.43,0.0,0.0,0.0,0.0,0.0,0.0,9.64,7.23,2.41,0.0,0.0,0.0,0.0,0
0,0,0,5,1,6,0,46,2,1,3,0,1,0,18,13,0,0,30,5,0,3,0,26,22,8,0,0,17,2,21,1,2,0,10,0,2,3,1,0,0,24,260,59.28,13.12,92.75,90.5,20.0,18.08,90.77,73.08,59.23,12.69,9.62,6.92,0.0,0.0,0.38,1.92,3.08,11.54,7.31,1.15,16.54,8.08,6.15,9.62,0.77,15.38,5.0,2.69,0.77,0.0,0.0,0.77,7.31,0.77,6.54,0.38,0.0,0.0,1.54,2.69,1.54,0.0,7.31,6.15,1.15,3.46,3.08,0.38,0.0,0.0,0.0,0.0,6.15,2.31,0.0,0.0,0.38,0.0,0.38,3.46,0.0,0.38,0.38,0.38,0.0,0.0,0.0,0.0,5.77,0.77,2.69,2.31,1.15,0.0,4.23,0.38,0.0,0.0,0.0,0.0,0.0,2.69,0.0,0.77,0.0,0.77,0.0,0.38,0.38,0.0,0.38,0.0,9.23,11.92,0.0,2.31,10.38,0.0,0.0,0.0,5.0,11.15,0.38,1.15,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0
30,0,0,25,2,8,0,71,4,9,11,1,9,0,31,22,2,0,39,13,0,4,0,63,47,19,1,1,22,12,51,1,4,0,4,0,4,1,0,0,1,26,483,50.62,4.91,95.96,41.62,21.95,16.77,91.1,75.16,61.28,15.53,11.59,8.49,0.0,1.04,1.04,1.04,3.93,13.46,7.45,0.41,15.32,9.32,4.55,8.28,1.45,17.18,6.42,2.9,2.48,0.41,1.24,0.83,12.63,1.04,11.59,2.07,1.24,2.48,1.66,0.41,4.55,0.0,3.52,2.48,1.04,0.83,0.41,0.41,0.0,0.0,0.41,0.0,8.28,3.52,0.21,0.41,0.0,0.41,1.86,4.14,0.0,0.0,1.24,0.21,0.83,0.0,0.0,0.83,6.21,0.0,2.07,2.9,1.66,0.0,1.24,0.83,0.0,0.21,0.0,0.0,0.0,0.41,0.0,0.83,0.21,0.0,0.21,0.41,0.0,0.21,0.0,0.0,5.38,12.42,0.21,1.24,9.94,0.41,0.21,0.62,4.97,8.28,1.86,0.62,0.21,0.0,0.21,0.0,0.0,11.59,3.93,6.21,0.0,0.62,0.62,0.21,0
8,0,0,14,0,7,0,27,2,3,3,0,0,0,14,18,2,1,18,7,0,2,0,15,16,9,0,1,7,6,16,0,1,0,8,0,2,1,1,2,1,15,195,56.63,75.04,86.13,26.98,10.83,17.44,91.28,72.82,54.87,12.31,10.26,2.56,7.18,0.0,0.0,0.51,2.05,15.38,7.69,1.54,13.33,7.69,5.64,7.18,2.56,17.95,8.72,8.21,10.26,9.23,1.03,0.51,15.9,1.03,14.36,2.56,1.03,3.08,0.0,0.51,6.15,0.0,6.15,3.08,2.56,2.56,1.03,1.03,0.0,0.51,0.0,0.0,16.41,5.13,1.03,0.51,0.51,0.51,1.54,10.26,1.03,0.0,1.03,0.0,0.0,0.0,0.0,0.0,6.67,0.51,1.03,3.08,2.05,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,1.03,0.51,0.0,1.03,0.0,0.0,0.0,0.51,6.15,12.31,0.51,1.54,9.74,1.03,0.0,0.0,4.62,10.26,1.03,0.51,0.0,0.0,0.0,0.0,0.0,16.92,8.72,4.1,0.0,0.51,1.54,2.05,0
5,0,0,8,0,3,0,33,4,3,3,0,2,0,15,9,1,0,17,7,0,1,0,23,24,2,0,3,10,9,11,0,2,0,8,1,2,2,2,0,0,16,205,35.49,6.69,66.63,14.85,22.78,18.05,87.8,74.63,59.51,10.73,6.34,5.37,0.98,0.0,0.0,0.0,4.39,20.0,9.76,1.95,9.27,11.22,7.32,8.78,2.44,19.51,7.8,5.85,2.93,2.44,0.49,0.0,13.66,1.95,11.71,3.9,0.98,1.95,1.95,1.46,3.41,0.0,6.34,2.93,3.41,1.46,0.0,1.46,0.0,0.0,1.46,0.0,3.9,2.44,0.49,0.0,0.0,0.0,0.49,1.95,0.98,0.0,0.0,0.49,0.49,0.0,0.0,0.49,2.44,0.49,0.49,0.98,0.49,0.0,2.44,0.49,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.98,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,4.88,11.22,0.98,0.0,5.85,2.93,0.49,0.98,3.9,13.17,1.95,0.98,0.98,0.49,0.0,0.49,0.0,10.24,2.44,2.44,0.0,1.95,1.95,1.46,0
10,0,0,6,0,0,0,41,7,1,2,0,1,0,19,13,1,0,11,8,0,1,0,19,30,3,5,8,11,6,7,2,2,0,2,0,0,1,0,0,0,22,200,75.4,31.66,49.13,93.63,15.38,26.0,88.5,68.5,56.5,6.0,3.5,0.5,1.5,0.0,0.0,1.0,2.5,20.0,12.5,2.5,11.5,6.0,8.0,9.5,2.0,11.0,8.0,6.5,3.5,2.5,0.5,0.5,17.0,2.5,14.5,2.0,0.5,0.5,2.5,1.5,6.5,1.0,5.5,5.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,2.5,0.5,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,5.0,0.5,0.0,0.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.5,7.0,5.0,0.0,1.5,4.5,0.0,0.0,0.0,3.5,4.5,2.5,0.5,2.0,0.0,1.5,0.5,0.0,23.5,10.5,5.0,0.0,0.5,3.5,4.0,1
