",",JJS,#,VB,RBR,PRP$,LS,NN,VBP,MD,VBG,EX,VBZ,RBS,JJ,.,JJR,NNPS,VBD,NNS,$,RP,``,IN,DT,TO,'',:,CC,VBN,PRP,WP,WDT,FW,NNP,UH,WRB,CD,PDT,SYM,POS,RB,label
3,0,0,2,0,0,0,13,0,0,0,0,0,0,7,6,0,0,8,1,0,0,0,5,8,2,0,0,4,2,4,1,0,0,7,0,1,0,0,1,0,3,0
1,0,0,3,2,3,0,18,2,2,3,1,0,0,2,6,1,0,14,1,0,1,0,17,14,3,0,0,4,6,13,1,0,0,5,0,1,0,0,0,0,8,0
6,0,0,9,0,3,0,37,6,3,4,0,5,0,17,15,1,0,15,3,0,1,0,29,27,5,1,0,4,3,26,2,0,2,11,0,2,4,0,0,0,16,0
1,0,0,4,0,0,0,12,3,0,0,0,4,0,6,6,0,1,0,8,0,0,0,6,8,4,0,0,2,1,1,0,0,0,7,0,0,1,0,0,0,3,0
2,0,0,1,0,1,0,7,0,1,0,1,3,0,7,7,0,0,2,4,0,0,0,4,6,1,0,0,3,0,2,0,0,0,5,0,0,2,0,0,0,4,1
1,0,0,3,0,1,0,20,3,2,1,2,6,0,12,6,0,0,3,6,0,0,0,10,15,3,0,0,5,1,2,0,1,0,10,0,0,1,0,0,0,6,1
2,0,0,4,0,5,0,16,1,1,0,0,0,0,8,5,0,0,12,2,0,0,0,11,13,3,0,0,5,2,11,1,1,0,2,0,0,1,1,0,0,5,0
2,0,0,6,0,2,0,21,1,1,3,0,2,0,8,10,0,0,13,1,0,1,0,17,17,5,0,0,5,3,10,1,1,0,18,0,0,1,0,0,1,3,0
1,0,0,2,0,3,0,19,0,1,2,0,0,0,8,7,0,0,11,1,0,0,0,12,9,3,0,0,5,1,11,0,0,0,7,0,0,3,0,0,0,5,1
5,0,0,5,0,3,0,21,2,2,3,0,2,0,13,14,0,0,9,5,0,0,0,19,15,7,0,2,4,1,12,0,1,0,13,0,0,3,0,0,0,11,0
2,0,0,3,0,1,0,12,1,1,1,0,3,0,11,5,0,0,4,2,0,0,0,10,10,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,7,0
7,0,0,8,1,12,0,62,2,0,3,0,7,0,31,17,3,0,23,14,0,1,0,42,40,10,1,0,22,6,17,2,1,0,11,0,0,2,0,0,1,8,0
3,0,0,1,0,2,0,6,1,0,1,0,1,1,5,4,0,0,6,3,0,0,0,8,8,1,1,0,3,3,7,0,0,0,3,0,0,1,0,0,0,5,1
5,1,0,9,1,6,0,46,8,2,2,1,14,0,21,13,3,0,8,8,6,3,0,34,28,5,0,0,12,2,13,1,1,2,6,0,1,8,0,0,0,11,1
2,0,0,1,0,1,0,14,0,0,2,0,1,0,6,8,0,0,7,0,0,1,0,4,12,2,0,0,3,0,3,0,1,0,16,0,0,0,0,0,0,3,1
9,0,0,12,0,12,0,51,2,3,1,0,1,0,14,16,1,0,29,12,0,3,0,29,37,9,0,0,14,6,19,0,0,0,4,0,2,1,0,0,0,25,0
8,3,0,7,0,4,0,22,4,1,0,3,1,1,8,14,0,0,21,5,0,1,0,19,16,6,1,0,2,6,22,1,0,0,5,0,1,1,0,0,0,13,0
11,0,0,16,1,4,0,38,3,0,5,0,1,0,23,18,0,0,32,8,1,0,0,16,22,10,0,0,18,4,30,1,0,0,3,0,2,2,0,0,0,16,0
5,0,0,7,0,2,0,20,6,3,3,1,4,0,8,9,1,0,8,1,0,0,0,24,25,1,0,1,7,4,16,0,0,0,12,0,1,0,0,0,0,14,1
11,0,0,2,0,1,0,14,4,0,0,1,2,0,11,6,0,0,3,12,0,1,0,11,10,2,1,2,5,2,2,0,1,2,3,0,1,1,0,0,1,7,1
8,0,0,5,0,5,0,29,3,2,1,0,0,0,6,10,1,2,18,2,0,1,0,15,13,2,0,1,11,4,16,0,0,0,11,0,1,2,0,0,1,8,0
2,0,0,5,0,3,0,15,2,1,2,0,0,0,7,5,0,0,11,3,1,1,0,13,11,5,0,0,3,0,11,0,0,0,0,0,2,1,0,0,0,10,0
1,0,0,4,0,1,0,15,1,1,6,1,2,0,16,6,1,1,8,9,0,0,0,11,11,4,0,4,5,2,8,0,0,0,2,0,0,0,0,0,0,12,1
3,0,0,7,0,1,0,37,5,2,3,1,4,0,16,8,0,0,3,3,0,2,0,18,33,3,1,5,12,0,8,0,0,0,11,0,1,2,1,1,3,10,1
4,0,0,2,1,3,0,13,0,2,1,0,0,0,6,6,0,0,6,4,0,0,0,6,7,1,0,0,2,1,3,0,0,0,6,0,0,0,0,0,0,4,0
0,0,0,1,0,1,1,11,1,1,1,0,0,0,6,3,1,0,7,1,0,0,0,9,7,0,0,0,5,0,3,0,0,0,4,0,0,0,0,0,0,4,0
5,0,0,8,0,2,0,15,1,3,2,0,0,0,3,6,1,0,7,2,0,1,0,10,10,3,0,2,3,2,10,0,0,0,6,0,1,1,1,0,0,5,0
1,0,0,1,0,1,0,16,2,1,2,0,2,1,9,8,0,0,6,1,0,0,0,6,13,4,0,0,4,3,5,0,0,0,6,0,0,1,1,0,0,6,1
8,1,0,5,0,4,0,32,6,0,4,0,2,0,16,19,0,0,12,12,4,1,0,20,16,4,0,3,3,1,6,0,0,1,5,0,3,5,0,3,0,6,1
1,1,0,4,0,1,0,9,2,3,0,0,0,0,3,4,1,0,2,0,0,0,0,7,8,1,0,0,1,2,5,0,0,0,1,0,0,1,0,0,0,4,0
6,0,0,5,0,4,0,23,2,3,2,0,1,0,9,10,0,0,13,2,1,0,0,14,18,3,0,0,2,0,13,1,0,1,3,0,1,3,0,0,0,10,0
2,1,0,7,0,1,0,10,2,1,2,0,2,0,9,4,0,0,5,3,0,1,0,7,8,3,0,5,4,1,10,0,0,0,1,0,0,0,0,0,0,5,1
7,1,0,7,0,0,0,19,1,5,1,1,1,0,15,8,0,0,10,6,0,0,0,19,19,2,0,0,7,5,9,0,0,3,3,0,1,3,0,0,1,16,1
5,2,0,12,0,1,0,29,4,8,0,3,9,1,21,15,2,0,5,3,0,0,0,21,25,3,0,0,7,3,14,0,2,0,20,0,1,2,0,0,0,12,0
0,0,0,6,0,0,0,19,3,1,2,0,0,0,6,6,1,0,5,2,0,0,0,8,17,4,0,1,2,0,5,0,0,0,1,0,0,0,0,0,0,8,1
1,0,0,3,0,2,0,9,1,0,4,0,1,0,4,6,0,0,2,1,0,0,0,8,6,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,5,0
14,0,0,3,0,2,0,26,0,2,4,0,3,0,18,10,1,0,17,5,0,0,0,18,19,2,0,0,13,4,14,0,1,0,9,0,1,1,1,0,0,10,1
8,0,0,5,0,1,0,26,4,0,2,0,0,0,4,8,0,0,11,7,0,0,0,14,14,3,0,0,5,4,8,0,0,2,5,0,1,0,0,0,1,14,1
1,0,0,4,1,1,0,20,1,2,1,0,6,0,12,10,1,0,8,0,2,0,0,11,13,2,0,1,6,3,8,1,1,5,13,0,1,5,0,1,0,7,1
4,0,0,3,0,3,0,29,1,0,1,1,2,0,8,7,2,0,11,9,0,0,0,20,24,3,0,1,10,1,9,0,0,0,1,0,1,2,0,0,1,6,1
6,0,0,5,0,5,0,20,0,1,1,0,0,0,6,8,1,0,14,3,0,0,0,15,16,4,0,0,1,5,12,0,0,0,5,0,1,1,2,0,0,3,0
0,0,0,17,0,10,0,53,2,5,9,2,0,0,18,17,1,0,45,8,0,5,0,45,39,18,0,1,14,15,46,1,1,0,3,0,3,7,0,0,0,23,0
17,2,0,11,0,12,0,47,0,0,5,3,3,0,22,11,0,0,27,8,0,0,0,37,23,13,1,7,7,6,16,2,2,0,9,0,2,1,0,0,2,18,0
